Accession ID,Cluster,Sequence Length,NCBI ID,Protein Name,Taxonomy ID,Scientific Name,Kingdom
CCW66843,Plant Alba – At2g34160 like,113,emb|CCW66843.1|,unnamed protein product [Phytomonas sp. isolate Hart1],134013,Phytomonas sp. isolate Hart1,Eukaryota
CCW61900,Plant Alba – At2g34160 like,113,emb|CCW61900.1|,unnamed protein product [Phytomonas sp. isolate EM1],134006,Phytomonas sp. isolate EM1,Eukaryota
EHA8587876,Plant Alba – At2g34160 like,165,gb|EHA8587876.1|,hypothetical protein [Cocos nucifera],13894,Cocos nucifera,Eukaryota
EJK64134,Plant Alba – At2g34160 like,241,gb|EJK64134.1|,hypothetical protein THAOC_15157 [Thalassiosira oceanica],159749,Thalassiosira oceanica,Eukaryota
XP_007215146,Plant Alba – At2g34160 like,129,ref|XP_007215146.1|,uncharacterized protein At2g34160 [Prunus persica],3760,Prunus persica,Eukaryota
XP_008219479,Plant Alba – At2g34160 like,136,ref|XP_008219479.1|,PREDICTED: uncharacterized protein At2g34160-like [Prunus mume],102107,Prunus mume,Eukaryota
XP_020424981,Plant Alba – At2g34160 like,136,ref|XP_020424981.1|,uncharacterized protein At2g34160 [Prunus persica],3760,Prunus persica,Eukaryota
XP_034217462,Plant Alba – At2g34160 like,136,ref|XP_034217462.1|,uncharacterized protein At2g34160-like [Prunus dulcis],3755,Prunus dulcis,Eukaryota
PQM32746,Plant Alba – At2g34160 like,112,gb|PQM32746.1|,uncharacterized protein Pyn_16599 [Prunus yedoensis var. nudiflora],2094558,Prunus yedoensis var. nudiflora,Eukaryota
XP_012488285,Plant Alba – At2g34160 like,138,ref|XP_012488285.1|,PREDICTED: uncharacterized protein At2g34160-like [Gossypium raimondii],29730,Gossypium raimondii,Eukaryota
PPD88998,Plant Alba – At2g34160 like,142,gb|PPD88998.1|,hypothetical protein GOBAR_DD14071 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
TYG46959,Plant Alba – At2g34160 like,134,gb|TYG46959.1|,hypothetical protein ES288_D11G298600v1 [Gossypium darwinii],34276,Gossypium darwinii,Eukaryota
TYH45944,Plant Alba – At2g34160 like,133,gb|TYH45944.1|,hypothetical protein ES332_D11G301200v1 [Gossypium tomentosum],34277,Gossypium tomentosum,Eukaryota
XP_040960515,Plant Alba – At2g34160 like,132,ref|XP_040960515.1|,uncharacterized protein At2g34160-like [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
KAA3472903,Plant Alba – At2g34160 like,130,gb|KAA3472903.1|,Alba DNA/RNA-binding protein [Gossypium australe],47621,Gossypium australe,Eukaryota
XP_016686592,Plant Alba – At2g34160 like,130,ref|XP_016686592.1|,uncharacterized protein At2g34160-like [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
XP_017630159,Plant Alba – At2g34160 like,130,ref|XP_017630159.1|,PREDICTED: uncharacterized protein At2g34160-like [Gossypium arboreum],29729,Gossypium arboreum,Eukaryota
XP_012748038,Plant Alba – At2g34160 like,137,ref|XP_012748038.1|,hypothetical protein SAMD00019534_122080 [Acytostelium subglobosum LB1],1410327,Acytostelium subglobosum LB1,Eukaryota
CAG7897815,Plant Alba – At2g34160 like,169,emb|CAG7897815.1|,unnamed protein product [Brassica rapa],3711,Brassica rapa,Eukaryota
KAG8363764,Plant Alba – At2g34160 like,159,gb|KAG8363764.1|,hypothetical protein BUALT_Bualt19G0056300 [Buddleja alternifolia],168488,Buddleja alternifolia,Eukaryota
KAG8487303,Plant Alba – At2g34160 like,188,gb|KAG8487303.1|,hypothetical protein CXB51_021005 [Gossypium anomalum],47600,Gossypium anomalum,Eukaryota
PPS03903,Plant Alba – At2g34160 like,188,gb|PPS03903.1|,hypothetical protein GOBAR_AA16752 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
KAG8497011,Plant Alba – At2g34160 like,152,gb|KAG8497011.1|,hypothetical protein CXB51_008231 [Gossypium anomalum],47600,Gossypium anomalum,Eukaryota
KAG8649757,Plant Alba – At2g34160 like,126,gb|KAG8649757.1|,hypothetical protein MANES_08G136600v8 [Manihot esculenta],3983,Manihot esculenta,Eukaryota
GEX91682,Plant Alba – At2g34160 like,59,dbj|GEX91682.1|,DNA/RNA-binding protein Alba-like protein [Tanacetum cinerariifolium],118510,Tanacetum cinerariifolium,Eukaryota
GEY39899,Plant Alba – At2g34160 like,415,dbj|GEY39899.1|,"zinc finger, CCHC-type [Tanacetum cinerariifolium]",118510,Tanacetum cinerariifolium,Eukaryota
GFH17763,Plant Alba – At2g34160 like,131,dbj|GFH17763.1|,"alba domain-containing protein, partial [Haematococcus lacustris]",44745,Haematococcus lacustris,Eukaryota
GFP85628,Plant Alba – At2g34160 like,73,dbj|GFP85628.1|,uncharacterized protein at2g34160 [Phtheirospermum japonicum],374723,Phtheirospermum japonicum,Eukaryota
GFP87826,Plant Alba – At2g34160 like,121,dbj|GFP87826.1|,uncharacterized protein at2g34160 [Phtheirospermum japonicum],374723,Phtheirospermum japonicum,Eukaryota
XP_022856365,Plant Alba – At2g34160 like,132,ref|XP_022856365.1|,uncharacterized protein At2g34160-like [Olea europaea var. sylvestris],158386,Olea europaea var. sylvestris,Eukaryota
CAA2983253,Plant Alba – At2g34160 like,132,emb|CAA2983253.1|,DNA RNA-binding Alba [Olea europaea subsp. europaea],158383,Olea europaea subsp. europaea,Eukaryota
KAG2316507,Plant Alba – At2g34160 like,149,gb|KAG2316507.1|,hypothetical protein Bca52824_019629 [Brassica carinata],52824,Brassica carinata,Eukaryota
KAF8107228,Plant Alba – At2g34160 like,155,gb|KAF8107228.1|,hypothetical protein N665_0124s0025 [Sinapis alba],3728,Sinapis alba,Eukaryota
XP_018455170,Plant Alba – At2g34160 like,157,ref|XP_018455170.1|,PREDICTED: uncharacterized protein At2g34160-like isoform X1 [Raphanus sativus],3726,Raphanus sativus,Eukaryota
XP_013610550,Plant Alba – At2g34160 like,154,ref|XP_013610550.1|,PREDICTED: uncharacterized protein At2g34160-like [Brassica oleracea var. oleracea],109376,Brassica oleracea var. oleracea,Eukaryota
XP_009111897,Plant Alba – At2g34160 like,154,ref|XP_009111897.1|,uncharacterized protein At2g34160 isoform X1 [Brassica rapa],3711,Brassica rapa,Eukaryota
XP_022568419,Plant Alba – At2g34160 like,152,ref|XP_022568419.1|,uncharacterized protein At2g34160-like isoform X2 [Brassica napus],3708,Brassica napus,Eukaryota
KAF3568310,Plant Alba – At2g34160 like,149,gb|KAF3568310.1|,hypothetical protein DY000_02011184 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAG2278637,Plant Alba – At2g34160 like,149,gb|KAG2278637.1|,hypothetical protein Bca52824_061192 [Brassica carinata],52824,Brassica carinata,Eukaryota
KAG5381805,Plant Alba – At2g34160 like,149,gb|KAG5381805.1|,hypothetical protein IGI04_033275 [Brassica rapa subsp. trilocularis],1813537,Brassica rapa subsp. trilocularis,Eukaryota
XP_018455171,Plant Alba – At2g34160 like,154,ref|XP_018455171.1|,PREDICTED: uncharacterized protein At2g34160-like isoform X2 [Raphanus sativus],3726,Raphanus sativus,Eukaryota
XP_009111898,Plant Alba – At2g34160 like,152,ref|XP_009111898.1|,uncharacterized protein At2g34160 isoform X2 [Brassica rapa],3711,Brassica rapa,Eukaryota
KAG2318231,Plant Alba – At2g34160 like,153,gb|KAG2318231.1|,hypothetical protein Bca52824_021353 [Brassica carinata],52824,Brassica carinata,Eukaryota
XP_018437775,Plant Alba – At2g34160 like,157,ref|XP_018437775.1|,PREDICTED: uncharacterized protein At2g34160-like [Raphanus sativus],3726,Raphanus sativus,Eukaryota
KAG2451051,Plant Alba – At2g34160 like,149,gb|KAG2451051.1|,hypothetical protein HYH02_004319 [Chlamydomonas schloesseri],2026947,Chlamydomonas schloesseri,Eukaryota
XP_001442879,Plant Alba – At2g34160 like,111,ref|XP_001442879.1|,hypothetical protein [Paramecium tetraurelia strain d4-2],412030,Paramecium tetraurelia strain d4-2,Eukaryota
CAD8153198,Plant Alba – At2g34160 like,111,emb|CAD8153198.1|,unnamed protein product [Paramecium octaurelia],43137,Paramecium octaurelia,Eukaryota
CAD8155353,Plant Alba – At2g34160 like,111,emb|CAD8155353.1|,unnamed protein product [Paramecium octaurelia],43137,Paramecium octaurelia,Eukaryota
KAG2491134,Plant Alba – At2g34160 like,91,gb|KAG2491134.1|,hypothetical protein HYH03_010577 [Edaphochlamys debaryana],47281,Edaphochlamys debaryana,Eukaryota
KAG2586715,Plant Alba – At2g34160 like,108,gb|KAG2586715.1|,hypothetical protein PVAP13_5NG072300 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
KAG2586716,Plant Alba – At2g34160 like,140,gb|KAG2586716.1|,hypothetical protein PVAP13_5NG072300 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
KAG2586718,Plant Alba – At2g34160 like,131,gb|KAG2586718.1|,hypothetical protein PVAP13_5NG072300 [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_039808855,Plant Alba – At2g34160 like,151,ref|XP_039808855.1|,uncharacterized protein At2g34160-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
ONM29624,Plant Alba – At2g34160 like,144,gb|ONM29624.1|,Retrovirus-related Pol polyprotein LINE-1 [Zea mays],4577,Zea mays,Eukaryota
ONM29618,Plant Alba – At2g34160 like,144,gb|ONM29618.1|,Alba DNA/RNA-binding protein [Zea mays],4577,Zea mays,Eukaryota
KAG2771550,Plant Alba – At2g34160 like,314,gb|KAG2771550.1|,hypothetical protein Pcac1_g17566 [Phytophthora cactorum],29920,Phytophthora cactorum,Eukaryota
KAG3119780,Plant Alba – At2g34160 like,314,gb|KAG3119780.1|,hypothetical protein PI125_g1771 [Phytophthora idaei],53986,Phytophthora idaei,Eukaryota
KAG3202003,Plant Alba – At2g34160 like,314,gb|KAG3202003.1|,hypothetical protein PC128_g3521 [Phytophthora cactorum],29920,Phytophthora cactorum,Eukaryota
KAG6961348,Plant Alba – At2g34160 like,314,gb|KAG6961348.1|,hypothetical protein JG688_00009121 [Phytophthora aleatoria],2496075,Phytophthora aleatoria,Eukaryota
KAG4909648,Plant Alba – At2g34160 like,94,gb|KAG4909648.1|,hypothetical protein JHK87_055764 [Glycine soja],3848,Glycine soja,Eukaryota
XP_001451802,Plant Alba – At2g34160 like,106,ref|XP_001451802.1|,hypothetical protein [Paramecium tetraurelia strain d4-2],412030,Paramecium tetraurelia strain d4-2,Eukaryota
KAG5564523,Plant Alba – At2g34160 like,147,gb|KAG5564523.1|,hypothetical protein RHGRI_000642 [Rhododendron griersonianum],479676,Rhododendron griersonianum,Eukaryota
KAG8070370,Plant Alba – At2g34160 like,139,gb|KAG8070370.1|,hypothetical protein GUJ93_ZPchr0006g41016 [Zizania palustris],103762,Zizania palustris,Eukaryota
KAF0935293,Plant Alba – At2g34160 like,139,gb|KAF0935293.1|,hypothetical protein E2562_032008 [Oryza meyeriana var. granulata],110450,Oryza meyeriana var. granulata,Eukaryota
KAG8075375,Plant Alba – At2g34160 like,132,gb|KAG8075375.1|,hypothetical protein GUJ93_ZPchr0006g45153 [Zizania palustris],103762,Zizania palustris,Eukaryota
KAE8817922,Plant Alba – At2g34160 like,132,gb|KAE8817922.1|,hypothetical protein D1007_04274 [Hordeum vulgare],4513,Hordeum vulgare,Eukaryota
BAJ96821,Plant Alba – At2g34160 like,132,dbj|BAJ96821.1|,predicted protein [Hordeum vulgare subsp. vulgare],112509,Hordeum vulgare subsp. vulgare,Eukaryota
KAF7008613,Plant Alba – At2g34160 like,132,gb|KAF7008613.1|,hypothetical protein CFC21_023333 [Triticum aestivum],4565,Triticum aestivum,Eukaryota
XP_020146751,Plant Alba – At2g34160 like,132,ref|XP_020146751.1|,uncharacterized protein At2g34160 [Aegilops tauschii subsp. strangulata],200361,Aegilops tauschii subsp. strangulata,Eukaryota
XP_037459203,Plant Alba – At2g34160 like,132,ref|XP_037459203.1|,uncharacterized protein At2g34160-like [Triticum dicoccoides],85692,Triticum dicoccoides,Eukaryota
KAF0904672,Plant Alba – At2g34160 like,132,gb|KAF0904672.1|,hypothetical protein E2562_036073 [Oryza meyeriana var. granulata],110450,Oryza meyeriana var. granulata,Eukaryota
XP_003563670,Plant Alba – At2g34160 like,132,ref|XP_003563670.1|,uncharacterized protein At2g34160 [Brachypodium distachyon],15368,Brachypodium distachyon,Eukaryota
XP_006656212,Plant Alba – At2g34160 like,132,ref|XP_006656212.1|,uncharacterized protein At2g34160-like [Oryza brachyantha],4533,Oryza brachyantha,Eukaryota
XP_004965953,Plant Alba – At2g34160 like,130,ref|XP_004965953.1|,uncharacterized protein At2g34160 [Setaria italica],4555,Setaria italica,Eukaryota
XP_025810476,Plant Alba – At2g34160 like,129,ref|XP_025810476.1|,uncharacterized protein At2g34160-like [Panicum hallii],206008,Panicum hallii,Eukaryota
XP_039807269,Plant Alba – At2g34160 like,129,ref|XP_039807269.1|,uncharacterized protein At2g34160-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
XP_002437246,Plant Alba – At2g34160 like,129,ref|XP_002437246.1|,uncharacterized protein At2g34160 [Sorghum bicolor],4558,Sorghum bicolor,Eukaryota
CAD6336385,Plant Alba – At2g34160 like,129,emb|CAD6336385.1|,unnamed protein product [Miscanthus lutarioriparius],422564,Miscanthus lutarioriparius,Eukaryota
XP_039843968,Plant Alba – At2g34160 like,129,ref|XP_039843968.1|,uncharacterized protein At2g34160-like [Panicum virgatum],38727,Panicum virgatum,Eukaryota
ABR26175,Plant Alba – At2g34160 like,126,gb|ABR26175.1|,"unknown, partial [Oryza sativa Indica Group]",39946,Oryza sativa Indica Group,Eukaryota
XP_015623413,Plant Alba – At2g34160 like,145,ref|XP_015623413.1|,uncharacterized protein At2g34160 [Oryza sativa Japonica Group],39947,Oryza sativa Japonica Group,Eukaryota
KAG8093257,Plant Alba – At2g34160 like,307,gb|KAG8093257.1|,hypothetical protein GUJ93_ZPchr0012g20644 [Zizania palustris],103762,Zizania palustris,Eukaryota
KAG8094692,Plant Alba – At2g34160 like,125,gb|KAG8094692.1|,hypothetical protein GUJ93_ZPchr0012g20552 [Zizania palustris],103762,Zizania palustris,Eukaryota
KAG8094691,Plant Alba – At2g34160 like,99,gb|KAG8094691.1|,hypothetical protein GUJ93_ZPchr0012g20552 [Zizania palustris],103762,Zizania palustris,Eukaryota
XP_042471967,Plant Alba – At2g34160 like,195,ref|XP_042471967.1|,uncharacterized protein At2g34160-like isoform X2 [Zingiber officinale],94328,Zingiber officinale,Eukaryota
XP_042471966,Plant Alba – At2g34160 like,199,ref|XP_042471966.1|,uncharacterized protein At2g34160-like isoform X1 [Zingiber officinale],94328,Zingiber officinale,Eukaryota
XP_001456888,Plant Alba – At2g34160 like,117,ref|XP_001456888.1|,hypothetical protein [Paramecium tetraurelia strain d4-2],412030,Paramecium tetraurelia strain d4-2,Eukaryota
XP_042398423,Plant Alba – At2g34160 like,127,ref|XP_042398423.1|,uncharacterized protein At2g34160-like [Zingiber officinale],94328,Zingiber officinale,Eukaryota
XP_042415609,Plant Alba – At2g34160 like,128,ref|XP_042415609.1|,uncharacterized protein At2g34160-like [Zingiber officinale],94328,Zingiber officinale,Eukaryota
XP_042515744,Plant Alba – At2g34160 like,209,ref|XP_042515744.1|,uncharacterized protein At2g34160-like [Macadamia integrifolia],60698,Macadamia integrifolia,Eukaryota
XP_042486731,Plant Alba – At2g34160 like,146,ref|XP_042486731.1|,uncharacterized protein At2g34160-like [Macadamia integrifolia],60698,Macadamia integrifolia,Eukaryota
XP_042516193,Plant Alba – At2g34160 like,127,ref|XP_042516193.1|,uncharacterized protein At2g34160-like [Macadamia integrifolia],60698,Macadamia integrifolia,Eukaryota
KAG9154057,Plant Alba – At2g34160 like,129,gb|KAG9154057.1|,hypothetical protein Leryth_000550 [Lithospermum erythrorhizon],34254,Lithospermum erythrorhizon,Eukaryota
KAG9154583,Plant Alba – At2g34160 like,136,gb|KAG9154583.1|,hypothetical protein Leryth_017338 [Lithospermum erythrorhizon],34254,Lithospermum erythrorhizon,Eukaryota
KAG9136389,Plant Alba – At2g34160 like,134,gb|KAG9136389.1|,hypothetical protein Leryth_025712 [Lithospermum erythrorhizon],34254,Lithospermum erythrorhizon,Eukaryota
KAG9150536,Plant Alba – At2g34160 like,128,gb|KAG9150536.1|,hypothetical protein Leryth_010905 [Lithospermum erythrorhizon],34254,Lithospermum erythrorhizon,Eukaryota
KAG9133458,Plant Alba – At2g34160 like,131,gb|KAG9133458.1|,hypothetical protein Leryth_013268 [Lithospermum erythrorhizon],34254,Lithospermum erythrorhizon,Eukaryota
XP_026450976,Plant Alba – At2g34160 like,231,ref|XP_026450976.1|,uncharacterized protein LOC113351144 [Papaver somniferum],3469,Papaver somniferum,Eukaryota
XP_026453632,Plant Alba – At2g34160 like,177,ref|XP_026453632.1|,uncharacterized protein At2g34160-like [Papaver somniferum],3469,Papaver somniferum,Eukaryota
XP_027070786,Plant Alba – At2g34160 like,139,ref|XP_027070786.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
CDP10391,Plant Alba – At2g34160 like,137,emb|CDP10391.1|,unnamed protein product [Coffea canephora],49390,Coffea canephora,Eukaryota
XP_027067956,Plant Alba – At2g34160 like,136,ref|XP_027067956.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027085559,Plant Alba – At2g34160 like,130,ref|XP_027085559.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027082034,Plant Alba – At2g34160 like,130,ref|XP_027082034.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027109736,Plant Alba – At2g34160 like,128,ref|XP_027109736.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027158383,Plant Alba – At2g34160 like,150,ref|XP_027158383.1|,uncharacterized protein At2g34160 [Coffea eugenioides],49369,Coffea eugenioides,Eukaryota
XP_027102368,Plant Alba – At2g34160 like,128,ref|XP_027102368.1|,uncharacterized protein At2g34160-like [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027123602,Plant Alba – At2g34160 like,133,ref|XP_027123602.1|,uncharacterized protein At2g34160-like isoform X2 [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027125442,Plant Alba – At2g34160 like,140,ref|XP_027125442.1|,uncharacterized protein At2g34160-like isoform X1 [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027123601,Plant Alba – At2g34160 like,140,ref|XP_027123601.1|,uncharacterized protein At2g34160-like isoform X1 [Coffea arabica],13443,Coffea arabica,Eukaryota
XP_027344803,Plant Alba – At2g34160 like,131,ref|XP_027344803.1|,uncharacterized protein At2g34160-like [Abrus precatorius],3816,Abrus precatorius,Eukaryota
XP_027352924,Plant Alba – At2g34160 like,128,ref|XP_027352924.1|,uncharacterized protein At2g34160 [Abrus precatorius],3816,Abrus precatorius,Eukaryota
XP_027361955,Plant Alba – At2g34160 like,136,ref|XP_027361955.1|,uncharacterized protein At2g34160-like [Abrus precatorius],3816,Abrus precatorius,Eukaryota
XP_031127287,Plant Alba – At2g34160 like,186,ref|XP_031127287.1|,uncharacterized protein At2g34160-like isoform X1 [Ipomoea triloba],35885,Ipomoea triloba,Eukaryota
XP_031127288,Plant Alba – At2g34160 like,153,ref|XP_031127288.1|,uncharacterized protein At2g34160-like isoform X2 [Ipomoea triloba],35885,Ipomoea triloba,Eukaryota
XP_019197175,Plant Alba – At2g34160 like,153,ref|XP_019197175.1|,PREDICTED: uncharacterized protein At2g34160-like isoform X2 [Ipomoea nil],35883,Ipomoea nil,Eukaryota
XP_031251640,Plant Alba – At2g34160 like,130,ref|XP_031251640.1|,uncharacterized protein At2g34160-like [Pistacia vera],55513,Pistacia vera,Eukaryota
XP_031268931,Plant Alba – At2g34160 like,150,ref|XP_031268931.1|,uncharacterized protein At2g34160 [Pistacia vera],55513,Pistacia vera,Eukaryota
XP_031272311,Plant Alba – At2g34160 like,211,ref|XP_031272311.1|,sphingosine kinase B-like [Pistacia vera],55513,Pistacia vera,Eukaryota
XP_031272326,Plant Alba – At2g34160 like,142,ref|XP_031272326.1|,uncharacterized protein DDB_G0287499-like [Pistacia vera],55513,Pistacia vera,Eukaryota
XP_031272327,Plant Alba – At2g34160 like,187,ref|XP_031272327.1|,uncharacterized protein At2g34160-like [Pistacia vera],55513,Pistacia vera,Eukaryota
XP_031380029,Plant Alba – At2g34160 like,143,ref|XP_031380029.1|,uncharacterized protein At2g34160-like [Punica granatum],22663,Punica granatum,Eukaryota
XP_031387945,Plant Alba – At2g34160 like,132,ref|XP_031387945.1|,uncharacterized protein At2g34160-like [Punica granatum],22663,Punica granatum,Eukaryota
XP_031389343,Plant Alba – At2g34160 like,129,ref|XP_031389343.1|,uncharacterized protein At2g34160-like [Punica granatum],22663,Punica granatum,Eukaryota
XP_031395887,Plant Alba – At2g34160 like,131,ref|XP_031395887.1|,uncharacterized protein At2g34160 [Punica granatum],22663,Punica granatum,Eukaryota
XP_031488313,Plant Alba – At2g34160 like,133,ref|XP_031488313.1|,uncharacterized protein At2g34160-like [Nymphaea colorata],210225,Nymphaea colorata,Eukaryota
KAF3781025,Plant Alba – At2g34160 like,138,gb|KAF3781025.1|,Uncharacterized protein EJ110_NYTH37778 [Nymphaea thermarum],419125,Nymphaea thermarum,Eukaryota
XP_031488903,Plant Alba – At2g34160 like,128,ref|XP_031488903.1|,uncharacterized protein At2g34160-like [Nymphaea colorata],210225,Nymphaea colorata,Eukaryota
KAF3786255,Plant Alba – At2g34160 like,128,gb|KAF3786255.1|,Uncharacterized protein EJ110_NYTH25752 [Nymphaea thermarum],419125,Nymphaea thermarum,Eukaryota
XP_034209859,Plant Alba – At2g34160 like,129,ref|XP_034209859.1|,uncharacterized protein At2g34160-like [Prunus dulcis],3755,Prunus dulcis,Eukaryota
BBG99068,Plant Alba – At2g34160 like,143,dbj|BBG99068.1|,Alba DNA/RNA-binding protein [Prunus dulcis],3755,Prunus dulcis,Eukaryota
XP_008339666,Plant Alba – At2g34160 like,131,ref|XP_008339666.3|,uncharacterized protein At2g34160-like [Malus domestica],3750,Malus domestica,Eukaryota
XP_008351650,Plant Alba – At2g34160 like,131,ref|XP_008351650.1|,uncharacterized protein At2g34160-like [Malus domestica],3750,Malus domestica,Eukaryota
XP_009343699,Plant Alba – At2g34160 like,131,ref|XP_009343699.2|,PREDICTED: uncharacterized protein At2g34160-like [Pyrus x bretschneideri],225117,Pyrus x bretschneideri,Eukaryota
XP_022863823,Plant Alba – At2g34160 like,129,ref|XP_022863823.1|,uncharacterized protein At2g34160-like [Olea europaea var. sylvestris],158386,Olea europaea var. sylvestris,Eukaryota
XP_034587556,Plant Alba – At2g34160 like,82,ref|XP_034587556.1|,uncharacterized protein At2g34160-like [Setaria viridis],4556,Setaria viridis,Eukaryota
XP_039004984,Plant Alba – At2g34160 like,122,ref|XP_039004984.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039031606,Plant Alba – At2g34160 like,122,ref|XP_039031606.1|,uncharacterized protein At2g34160-like isoform X2 [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039071807,Plant Alba – At2g34160 like,122,ref|XP_039071807.1|,uncharacterized protein At2g34160-like isoform X1 [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
KAE8682721,Plant Alba – At2g34160 like,107,gb|KAE8682721.1|,Mitochondrial substrate carrier family protein [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
KAB2027084,Plant Alba – At2g34160 like,122,gb|KAB2027084.1|,hypothetical protein ES319_D05G010800v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
XP_012442306,Plant Alba – At2g34160 like,122,ref|XP_012442306.1|,PREDICTED: uncharacterized protein At2g34160-like [Gossypium raimondii],29730,Gossypium raimondii,Eukaryota
XP_040948927,Plant Alba – At2g34160 like,122,ref|XP_040948927.1|,uncharacterized protein At2g34160 [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
XP_039031605,Plant Alba – At2g34160 like,124,ref|XP_039031605.1|,uncharacterized protein At2g34160-like isoform X1 [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_016750012,Plant Alba – At2g34160 like,122,ref|XP_016750012.1|,uncharacterized protein At2g34160 [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
PPR95382,Plant Alba – At2g34160 like,132,gb|PPR95382.1|,hypothetical protein GOBAR_AA25286 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
XP_039018520,Plant Alba – At2g34160 like,116,ref|XP_039018520.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039014881,Plant Alba – At2g34160 like,117,ref|XP_039014881.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039028549,Plant Alba – At2g34160 like,130,ref|XP_039028549.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039037061,Plant Alba – At2g34160 like,126,ref|XP_039037061.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039022421,Plant Alba – At2g34160 like,126,ref|XP_039022421.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
XP_039048922,Plant Alba – At2g34160 like,126,ref|XP_039048922.1|,uncharacterized protein At2g34160-like [Hibiscus syriacus],106335,Hibiscus syriacus,Eukaryota
KAB1219121,Plant Alba – At2g34160 like,158,gb|KAB1219121.1|,hypothetical protein CJ030_MR3G008412 [Morella rubra],262757,Morella rubra,Eukaryota
KAB2019224,Plant Alba – At2g34160 like,134,gb|KAB2019224.1|,hypothetical protein ES319_D08G283200v1 [Gossypium barbadense],3634,Gossypium barbadense,Eukaryota
XP_012477094,Plant Alba – At2g34160 like,134,ref|XP_012477094.1|,PREDICTED: uncharacterized protein At2g34160-like [Gossypium raimondii],29730,Gossypium raimondii,Eukaryota
XP_016692134,Plant Alba – At2g34160 like,134,ref|XP_016692134.1|,uncharacterized protein At2g34160 [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
XP_017624372,Plant Alba – At2g34160 like,134,ref|XP_017624372.1|,PREDICTED: uncharacterized protein At2g34160-like [Gossypium arboreum],29729,Gossypium arboreum,Eukaryota
XP_040954911,Plant Alba – At2g34160 like,134,ref|XP_040954911.1|,uncharacterized protein At2g34160 [Gossypium hirsutum],3635,Gossypium hirsutum,Eukaryota
KAF2531006,Plant Alba – At2g34160 like,53,gb|KAF2531006.1|,hypothetical protein F2Q70_00032220 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2530490,Plant Alba – At2g34160 like,56,gb|KAF2530490.1|,hypothetical protein F2Q70_00032219 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2543499,Plant Alba – At2g34160 like,67,gb|KAF2543499.1|,hypothetical protein F2Q68_00033209 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2544863,Plant Alba – At2g34160 like,111,gb|KAF2544863.1|,hypothetical protein F2Q70_00021199 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2560165,Plant Alba – At2g34160 like,171,gb|KAF2560165.1|,hypothetical protein F2Q68_00014663 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2564647,Plant Alba – At2g34160 like,66,gb|KAF2564647.1|,hypothetical protein F2Q70_00016648 [Brassica cretica],69181,Brassica cretica,Eukaryota
KAF2564648,Plant Alba – At2g34160 like,60,gb|KAF2564648.1|,hypothetical protein F2Q70_00016649 [Brassica cretica],69181,Brassica cretica,Eukaryota
